 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
38,109.332,255,500.770,1051.121,39.545,12.171,11.437,115.702,0.879,12.965,100,1086,2282,122.005,11.661,1.064,0.940,0.946
39,191.594,255,602.348,1053.654,58.850,20.431,11.940,98.661,0.695,21.705,100,1311,2279,97.275,13.285,1.711,0.584,0.879
40,114.788,255,528.615,1050.514,40.730,14.261,10.249,120.789,0.870,14.666,100,1143,2280,128.660,10.799,1.391,0.719,0.943
41,57.709,255,135.314,1048.811,32.484,13.687,5.368,135.376,0.687,14.022,100,283,2281,141.633,5.831,2.550,0.392,0.897
42,166.202,255,92.144,1052.391,50.873,18.222,11.613,71.170,0.807,19.414,100,193,2319,70.710,12.922,1.569,0.637,0.927
43,57.079,255,650.599,1044.267,27.727,9.057,8.025,173.300,0.933,9.343,100,1410,2278,168.690,7.788,1.129,0.886,0.948
44,115.418,255,403.399,1044.850,40.285,13.058,11.254,173.451,0.894,13.985,100,867,2275,148.392,10.978,1.160,0.862,0.962
45,96.741,255,819.471,1044.476,38.629,14.359,8.578,36.947,0.815,15.027,100,1775,2290,37.569,9.070,1.674,0.597,0.925
46,95.482,255,414.284,1044.345,37.426,11.284,10.774,138.483,0.857,13.021,100,893,2269,140.711,10.536,1.047,0.955,0.945
47,114.578,255,269.373,1044.262,54.695,14.620,9.979,138.838,0.481,16.027,100,573,2270,149.036,11.661,1.465,0.683,0.850
48,135.983,255,509.918,1044.222,47.320,15.711,11.020,161.784,0.763,17.700,100,1095,2278,169.563,11.661,1.426,0.701,0.908
49,84.989,255,109.633,1043.481,34.696,11.214,9.650,129.976,0.887,11.910,100,236,2265,112.620,9.718,1.162,0.861,0.930
50,102.827,255,758.382,1043.503,39.814,13.580,9.641,42.948,0.815,13.743,100,1646,2289,53.130,10.078,1.409,0.710,0.909
51,59.178,255,596.523,1040.782,29.513,9.047,8.329,122.997,0.854,9.793,100,1300,2283,79.216,9.014,1.086,0.921,0.902
52,55.401,255,297.314,1039.985,27.459,9.692,7.278,12.944,0.923,10.140,100,638,2273,18.435,7.330,1.332,0.751,0.946
53,63.375,255,488.938,1041.840,32.151,11.211,7.197,100.059,0.770,12.462,100,1064,2261,107.103,7.788,1.558,0.642,0.901
