 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
155,296.519,0.180,293.011,118.548,64.079,21.368,17.669,115.543,0.907,22.108,0.071,626,238,124.019,17.823,1.209,0.827,0.973
156,264.831,0.000,188.116,118.542,60.035,19.045,17.705,136.284,0.923,19.703,0.000,397,242,125.538,17.866,1.076,0.930,0.972
157,188.026,0.000,234.095,118.811,50.494,16.151,14.823,132.546,0.927,16.675,0.000,505,242,110.925,14.900,1.090,0.918,0.967
158,279.311,0.000,112.603,121.368,63.274,21.149,16.816,127.605,0.877,22.108,0.000,232,244,124.019,17.420,1.258,0.795,0.964
159,250.562,0.427,462.831,122.932,60.683,19.787,16.123,121.481,0.855,20.332,0.168,1003,246,112.521,16.520,1.227,0.815,0.951
160,376.052,0.142,416.460,124.269,74.065,23.537,20.343,6.556,0.861,24.110,0.056,883,279,14.300,20.927,1.157,0.864,0.950
161,394.729,3.254,619.146,125.390,76.703,25.431,19.763,66.677,0.843,25.987,1.276,1334,295,49.289,20.231,1.287,0.777,0.948
162,304.283,0.176,265.906,123.856,65.107,21.481,18.036,117.495,0.902,21.993,0.069,566,251,125.676,18.438,1.191,0.840,0.969
163,261.474,0.000,92.301,123.384,63.431,19.302,17.248,32.603,0.817,20.756,0.000,180,280,22.036,17.408,1.119,0.894,0.933
164,268.819,0.000,168.664,123.760,61.127,20.316,16.847,133.551,0.904,20.456,0.000,349,259,145.954,16.520,1.206,0.829,0.969
165,317.294,0.000,813.260,124.030,67.744,22.861,17.672,8.195,0.869,22.905,0.000,1750,274,16.260,18.239,1.294,0.773,0.951
166,268.819,1.593,606.616,124.168,60.951,19.320,17.716,146.081,0.909,20.177,0.625,1307,258,140.528,17.866,1.091,0.917,0.969
167,334.082,0.000,793.418,125.795,68.883,23.453,18.137,147.356,0.885,24.279,0.000,1710,260,148.109,18.782,1.293,0.773,0.971
168,173.756,0.000,498.204,126.011,49.577,16.322,13.554,151.111,0.888,16.517,0.000,1072,266,146.310,13.726,1.204,0.830,0.953
169,198.309,1.079,766.915,125.583,52.215,17.889,14.114,161.890,0.914,18.398,0.423,1655,267,161.114,14.201,1.267,0.789,0.970
170,329.465,0.000,718.448,129.844,68.457,23.465,17.877,141.795,0.883,23.759,0.000,1548,269,146.004,18.438,1.313,0.762,0.968
171,187.187,0.286,782.925,126.924,50.651,16.373,14.557,120.239,0.917,16.775,0.112,1700,261,124.992,14.776,1.125,0.889,0.966
172,179.632,0.000,101.222,128.116,50.114,15.457,14.797,41.799,0.899,16.138,0.000,210,294,55.408,15.117,1.045,0.957,0.962
173,464.819,0.000,143.397,132.908,81.774,26.626,22.227,62.779,0.873,26.876,0.000,295,314,60.376,22.557,1.198,0.835,0.954
174,264.412,0.000,162.115,130.345,60.859,20.471,16.446,127.588,0.897,20.862,0.000,348,262,109.231,16.196,1.245,0.803,0.967
175,260.215,0.000,682.928,129.669,60.997,18.663,17.753,119.132,0.879,20.250,0.000,1473,271,142.352,17.324,1.051,0.951,0.964
176,289.174,0.000,441.017,130.363,64.033,20.978,17.551,141.624,0.886,21.729,0.000,950,266,124.695,17.816,1.195,0.837,0.964
177,256.647,0.000,693.063,129.178,59.859,18.836,17.348,16.700,0.900,20.250,0.000,1496,296,37.648,16.491,1.086,0.921,0.975
178,288.544,0.000,737.083,130.766,62.895,20.185,18.201,154.456,0.917,20.741,0.000,1590,274,149.470,18.324,1.109,0.902,0.972
179,261.474,0.409,516.849,131.793,60.415,18.893,17.622,139.928,0.900,19.703,0.161,1116,271,125.538,17.777,1.072,0.933,0.964
180,221.602,0.000,331.281,132.933,55.880,19.697,14.324,77.326,0.892,19.847,0.000,717,310,71.147,14.201,1.375,0.727,0.971
181,278.681,0.000,364.934,132.165,62.404,19.269,18.414,12.897,0.899,20.343,0.000,784,308,54.162,18.324,1.046,0.956,0.964
182,207.962,0.772,486.606,131.241,53.242,17.329,15.280,52.101,0.922,17.789,0.303,1052,303,55.491,15.548,1.134,0.882,0.967
183,352.759,0.455,407.504,134.560,71.206,23.511,19.103,9.280,0.874,24.075,0.178,867,306,21.194,19.669,1.231,0.813,0.959
184,199.568,0.000,538.703,134.472,51.947,16.395,15.499,120.857,0.929,16.900,0.000,1166,278,122.829,15.575,1.058,0.945,0.968
185,219.923,0.000,819.130,134.408,55.075,18.069,15.497,141.816,0.911,18.692,0.000,1775,277,126.027,15.775,1.166,0.858,0.969
186,202.506,0.000,450.568,135.177,53.890,16.760,15.384,89.129,0.876,17.683,0.000,975,277,106.557,15.740,1.089,0.918,0.953
187,168.300,0.000,313.894,134.664,47.902,15.294,14.011,132.619,0.922,15.763,0.000,675,280,125.538,14.253,1.092,0.916,0.963
188,349.821,0.000,588.864,136.396,70.872,22.412,19.874,176.679,0.875,23.412,0.000,1263,308,30.579,19.240,1.128,0.887,0.973
189,197.679,1.083,526.079,135.470,54.316,17.207,14.627,13.818,0.842,17.965,0.425,1131,306,19.359,15.050,1.176,0.850,0.937
190,171.448,0.000,194.403,135.912,48.661,16.260,13.425,126.074,0.910,16.517,0.000,414,282,123.690,13.605,1.211,0.826,0.962
